House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
229,Willis Avenue,Lindsey,Burke,0,Daughter,NA,Female,Child,None,NA
15,Woods Courts,Reece,Jones,0,Grandson,NA,Male,Child,None,NA
6,Allen Forks,Mohammad,Evans,0,Son,NA,Male,Child,None,NA
23,Bank Burg,Clare,Riley,0,Daughter,NA,Female,Child,None,NA
23,Bank Burg,Paige,Riley,0,Daughter,NA,Female,Child,None,NA
38,Bank Burg,Alice,Stewart,0,Daughter,NA,Female,Child,None,NA
26,Reynolds Highway,Katherine,Hunt,0,Daughter,NA,Female,Child,None,NA
1,Knowles Tower,Gordon,Chadwick,0,Son,NA,Male,Child,None,NA
31,Rhubarb Drive,Graham,Oliver,1,Son,NA,Male,Child,None,NA
41,Rhubarb Drive,Alison,Green,1,Daughter,NA,Female,Child,None,NA
9,Laurelline Street,Christian,Murphy,1,Son,NA,Male,Child,None,NA
29,Wallis Rapids,Bruce,Davies,1,Son,NA,Male,Child,None,NA
48,Wallis Rapids,Tracey,Hodgson,1,Daughter,NA,Female,Child,None,NA
50,Wallis Rapids,Judith,Lucas,1,Daughter,NA,Female,Child,None,NA
52,Wallis Rapids,Lauren,Parkes,1,Granddaughter,NA,Female,Child,None,NA
52,Wallis Rapids,Ian,Parkes,1,Grandson,NA,Male,Child,None,NA
59,Wallis Rapids,Jessica,Ali,1,Daughter,NA,Female,Child,None,NA
60,Wallis Rapids,Elizabeth,Harding,1,Daughter,NA,Female,Child,None,NA
62,Wallis Rapids,Ashley,Stevens,1,Son,NA,Male,Child,None,NA
79,Wallis Rapids,Brian,Martin,1,Grandson,NA,Male,Child,None,NA
5,West Lane,Mathew,Jones,1,Son,NA,Male,Child,None,NA
7,West Lane,Jonathan,Pearson,1,Grandson,NA,Male,Child,None,NA
8,West Lane,Damien,Parry,1,Son,NA,Male,Child,None,NA
9,Winterbarrier Street,Terence,Smith,1,Son,NA,Male,Child,None,NA
14,Winterbarrier Street,Mohammed,Griffiths,1,Son,NA,Male,Child,None,NA
1,Willis Springs,Terence,Andrews,1,Son,NA,Male,Child,None,NA
9,Richardson Street,Joanne,Hill,1,Daughter,NA,Female,Child,None,NA
46,Richardson Street,Rhys,Davies,1,Son,NA,Male,Child,None,NA
22,Armagh Crescent,Nicholas,Hodgson,1,Son,NA,Male,Child,None,NA
23,Armagh Crescent,Kimberley,Watkins,1,Granddaughter,NA,Female,Child,None,NA
33,Armagh Crescent,Sam,Bibi,1,Son,NA,Male,Child,None,NA
24,Tiger Point,Jenna,Chambers,1,Daughter,NA,Female,Child,None,NA
6,Love Square,Jane,Woods,1,Daughter,NA,Female,Child,None,NA
18,Webb Parkway,Joyce,Miller,1,Daughter,NA,Female,Child,None,NA
3,Chelmsfordshot Street,Bethan,Thomas,1,Daughter,NA,Female,Child,None,NA
17,Chelmsfordshot Street,Chloe,Marsh,1,Daughter,NA,Female,Child,None,NA
17,Chelmsfordshot Street,Dawn,Marsh,1,Daughter,NA,Female,Child,None,NA
30,Chelmsfordshot Street,Matthew,Wells,1,Son,NA,Male,Child,None,NA
30,Chelmsfordshot Street,Brian,Wells,1,Son,NA,Male,Child,None,NA
50,Orchard Crescent,Sophie,Coates,1,Daughter,NA,Female,Child,None,NA
52,Orchard Crescent,Yvonne,Barnes,1,Daughter,NA,Female,Child,None,NA
4,Taylor Wall,Lee,Shepherd,1,Nephew,NA,Male,Child,None,NA
11,Taylor Wall,Kerry,Nash,1,Daughter,NA,Female,Child,None,NA
18,Taylor Wall,Samuel,Preston-Edwards,1,Son,NA,Male,Child,None,NA
44,Green Squares,Paula,Rogers,1,Daughter,NA,Female,Child,None,NA
51,Green Squares,Henry,Harper,1,Son,NA,Male,Child,None,NA
55,Green Squares,Elliot,Griffiths,1,Son,NA,Male,Child,None,NA
106,Green Squares,Rosie,Dickinson,1,Daughter,NA,Female,Child,None,NA
126,Green Squares,Lauren,Lee-Davies,1,Daughter,NA,Female,Child,None,NA
8,Taurus Lodge,Callum,Clarke,1,Son,NA,Male,Child,None,NA
6,London Avenue,Paige,Todd,1,Daughter,NA,Female,Child,None,NA
4,Egbert Key,Leah,Riley,1,Daughter,NA,Female,Child,None,NA
13,Egbert Key,Richard,Wood,1,Grandson,NA,Male,Child,None,NA
20,Egbert Key,Megan,Lewis,1,Daughter,NA,Female,Child,None,NA
1,CherryChestnut Street,Jayne,Wilson,1,Daughter,NA,Female,Child,None,NA
9,CherryChestnut Street,Karl,Thomson,1,Son,NA,Male,Child,None,NA
16,CherryChestnut Street,Alice,Sims,1,Daughter,NA,Female,Child,None,NA
18,CherryChestnut Street,Luke,Patel,1,Son,NA,Male,Child,None,NA
34,CherryChestnut Street,Dominic,May,1,Son,NA,Male,Child,None,NA
47,CherryChestnut Street,Elliott,Herbert,1,Adopted Son,NA,Male,Child,None,NA
54,CherryChestnut Street,Jemma,Davey,1,Daughter,NA,Female,Child,None,NA
7,Rhubarb Tunnel,Teresa,Manning,1,Step-Daughter,NA,Female,Child,None,NA
39,Rhubarb Tunnel,Richard,Hunter,1,Son,NA,Male,Child,None,NA
39,Rhubarb Tunnel,Oliver,Hunter,1,Son,NA,Male,Child,None,NA
5,Dale Glens,Simon,Davies-Morgan,1,Son,NA,Male,Child,None,NA
27,Arthur Street,Peter,Owen,1,Son,NA,Male,Child,None,NA
16,Kelly Dale,Hilary,Cross-Moore,1,Daughter,NA,Female,Child,None,NA
23,Kelly Dale,Rebecca,Williams,1,Daughter,NA,Female,Child,None,NA
10,Cook Plaza,Jordan,Wright,1,Son,NA,Male,Child,None,NA
48,Cook Plaza,Gerard,Hill-Jones,1,Son,NA,Male,Child,None,NA
51,Cook Plaza,Danny,Fuller,1,Son,NA,Male,Child,None,NA
100,Cook Plaza,Victoria,Clarke,1,Daughter,NA,Female,Child,None,NA
108,Cook Plaza,Glenn,Rhodes,1,Son,NA,Male,Child,None,NA
116,Cook Plaza,Harriet,Hart,1,Daughter,NA,Female,Child,None,NA
149,Cook Plaza,Sarah,Roberts,1,Daughter,NA,Female,Child,None,NA
150,Cook Plaza,Gillian,Hill,1,Daughter,NA,Female,Child,None,NA
177,Cook Plaza,Gary,Smith,1,Son,NA,Male,Child,None,NA
14,Metcalfe Forks,Louis,Allen,1,Son,NA,Male,Child,None,NA
3,Miller Crescent,Vanessa,Williams,1,Daughter,NA,Female,Child,None,NA
29,Bank Street,Andrew,Tyler,1,Son,NA,Male,Child,Mental Disability,NA
8,Ford Oval,Heather,Haynes,1,Daughter,NA,Female,Child,None,NA
17,Bath Drive,Holly,Hargreaves,1,Daughter,NA,Female,Child,None,NA
26,Bailey Glen,Andrew,Cameron,1,Son,NA,Male,Child,None,NA
14,King Walks,Beverley,Dawson,1,Daughter,NA,Female,Child,None,NA
33,King Walks,Janet,Jones,1,Daughter,NA,Female,Child,None,NA
95,Willis Avenue,Julian,Adams,1,Son,NA,Male,Child,None,NA
115,Willis Avenue,Natasha,Savage,1,Neice,NA,Female,Child,None,NA
4,Woods Courts,Irene,Ford,1,Daughter,NA,Female,Child,None,NA
10,Woods Courts,Mary,Curtis,1,Daughter,NA,Female,Child,None,NA
28,Taurus Garden,Victor,Hussain,1,Son,NA,Male,Child,None,NA
29,Taurus Garden,Kenneth,Dean,1,Son,NA,Male,Child,None,NA
13,Iqbal Shoals,Elizabeth,Parry,1,Daughter,NA,Female,Child,None,NA
47,Iqbal Shoals,Hazel,Briggs,1,Daughter,NA,Female,Child,None,NA
14,Hunters Parkway,Jean,Horton,1,Daughter,NA,Female,Child,None,NA
1,Knowles Tower,Andrea,Chadwick,1,Daughter,NA,Female,Child,Physical Disability,NA
1,Knowles Tower,Margaret,Chadwick,1,Daughter,NA,Female,Child,None,NA
1,Bishop Obervatory,Joseph,Knight,1,Son,NA,Male,Child,None,NA
1,Marsh Hold,Terry,Smith,1,Son,NA,Male,Child,None,NA
1,Woodward Cabin,Diane,Brooks,1,Daughter,NA,Female,Child,None,NA
1,Beech Villa,Laura,Brown-King,1,Daughter,NA,Female,Child,None,NA
1,Rhubarb Drive,Sarah,Hall,2,Daughter,NA,Female,Child,None,NA
5,Rhubarb Drive,Pamela,Jones,2,Granddaughter,NA,Female,Child,None,NA
3,Wallis Rapids,Joan,Elliott,2,Daughter,NA,Female,Child,None,NA
10,Wallis Rapids,Douglas,White,2,Son,NA,Male,Child,None,NA
12,Wallis Rapids,Ronald,Walsh,2,Son,NA,Male,Child,None,NA
18,Wallis Rapids,Shannon,Wright,2,Daughter,NA,Female,Child,None,NA
56,Wallis Rapids,Suzanne,Green,2,Daughter,NA,Female,Child, ,NA
2,West Lane,Joel,Wood,2,Son,NA,Male,Child,None,NA
18,Testamentrigg Road,Katy,Day,2,Daughter,NA,Female,Child,None,NA
23,Testamentrigg Road,Louise,Wilkinson,2,Daughter,NA,Female,Child,None,NA
17,Pisces Road,Joanne,Jones,2,Daughter,NA,Female,Child,None,NA
20,Pisces Road,Hazel,Morton,2,Daughter,NA,Female,Child,None,NA
22,Pisces Road,William,Clarke,2,Son,NA,Male,Child,None,NA
22,Pisces Road,Gerard,Clarke,2,Son,NA,Male,Child,None,NA
38,Pisces Road,Robin,Wells,2,Son,NA,Male,Child,None,NA
8,Winterbarrier Street,Tony,John,2,Son,NA,Male,Child,None,NA
14,Winterbarrier Street,Elizabeth,Griffiths,2,Daughter,NA,Female,Child,None,NA
32,Inner Street,Gareth,Parry,2,Son,NA,Male,Child,None,NA
86,Richardson Street,Nicole,Read,2,Daughter,NA,Female,Child,None,NA
106,Richardson Street,Samuel,Sanderson,2,Son,NA,Male,Child,None,NA
10,Armagh Crescent,Abigail,Smith,2,Daughter,NA,Female,Child,None,NA
22,Mitchell Loaf,Mark,Carr,2,Son,NA,Male,Child,None,NA
26,Tiger Point,Rosemary,Day,2,Daughter,NA,Female,Child,None,NA
52,Mill Drive,Antony,Palmer-Martin,2,Son,NA,Male,Child,None,NA
1,Wright Common,Roger,Price-Rowley,2,Son,NA,Male,Child,None,NA
16,Love Square,Kimberley,James,2,Daughter,NA,Female,Child,None,NA
16,Chelmsfordshot Street,Caroline,Kennedy,2,Daughter,NA,Female,Child,None,NA
16,Chelmsfordshot Street,Elizabeth,Kennedy,2,Daughter,NA,Female,Child,None,NA
3,Taylor Wall,Reece,Nolan,2,Son,NA,Male,Child,None,NA
16,Taylor Wall,Leon,Bailey,2,Son,NA,Male,Child,None,NA
24,Taylor Wall,Norman,Hill-Francis,2,Son,NA,Male,Child,None,NA
28,Taylor Wall,Chloe,Webb,2,Daughter,NA,Female,Child,None,NA
12,Anvil Crescent,Rachael,Payne,2,Granddaughter,NA,Female,Child,None,NA
41,Anvil Crescent,Ricky,Pearson,2,Son,NA,Male,Child,None,NA
48,Anvil Crescent,Elliott,O'Sullivan,2,Son,NA,Male,Child,None,NA
13,Coin Street,Kathryn,Andrews,2,Daughter,NA,Female,Child,None,NA
18,Coin Street,Hugh,Hammond,2,Son,NA,Male,Child,None,NA
25,Coin Street,Jean,Williams,2,Daughter,NA,Female,Child,None,NA
29,Green Squares,Samantha,Scott,2,Daughter,NA,Female,Child,None,NA
81,Green Squares,Margaret,Oliver,2,Daughter,NA,Female,Child,None,NA
83,Green Squares,Russell,Bond,2,Son,NA,Male,Child,None,NA
117,Green Squares,Nathan,Welch,2,Step-Son,NA,Male,Child,None,NA
165,Green Squares,Suzanne,Smith,2,Daughter,NA,Female,Child,None,NA
24,Taurus Lodge,Olivia,Clark,2,Daughter,NA,Female,Child,None,NA
24,Taurus Lodge,Laura,Clark,2,Daughter,NA,Female,Child,None,NA
18,Egbert Key,Marc,King,2,Son,NA,Male,Child,None,NA
18,Egbert Key,Ashley,King,2,Son,NA,Male,Child,None,NA
28,CherryChestnut Street,Rebecca,Harris,2,Daughter,NA,Female,Child,None,NA
40,CherryChestnut Street,Katherine,Sheppard,2,Daughter,NA,Female,Child,None,NA
53,CherryChestnut Street,Ricky,Glover,2,Son,NA,Male,Child,None,NA
41,Rhubarb Tunnel,Aaron,Thomas,2,Son,NA,Male,Child,None,NA
5,Brightonshot Lane,Wayne,Scott,2,Son,NA,Male,Child,None,NA
13,Marsh Lights,Caroline,Norman,2,Daughter,NA,Female,Child,None,NA
30,Marsh Lights,Colin,North,2,Son,NA,Male,Child,None,NA
23,Arthur Street,Catherine,Stanley,2,Daughter,NA,Female,Child,None,NA
24,Arthur Street,Debra,West,2,Daughter,NA,Female,Child,None,NA
17,Kelly Dale,Clive,Connor,2,Son,NA,Male,Child,None,NA
28,Kelly Dale,Paula,Greenwood,2,Daughter,NA,Female,Child,None,NA
17,Singh Plaza,Marion,Bradley,2,Granddaughter,NA,Female,Child,None,NA
44,Cook Plaza,Brenda,Giles,2,Daughter,NA,Female,Child,None,NA
50,Cook Plaza,Angela,Thompson,2,Daughter,NA,Female,Child,None,NA
73,Cook Plaza,Lynne,Evans,2,Daughter,NA,Female,Child,None,NA
113,Cook Plaza,Lewis,Hargreaves,2,Son,NA,Male,Child,None,NA
113,Cook Plaza,Eleanor,Hargreaves,2,Daughter,NA,Female,Child,None,NA
123,Cook Plaza,Dean,Chambers,2,Son,NA,Male,Child,None,NA
132,Cook Plaza,Fiona,Turner,2,Daughter,NA,Female,Child,None,NA
164,Cook Plaza,Kate,Murray,2,Daughter,NA,Female,Child,None,NA
30,Horseshoe Drive,Anne,Cole,2,Daughter,NA,Female,Child,None,NA
3,Miller Crescent,Carol,Williams,2,Daughter,NA,Female,Child,None,NA
4,Miller Crescent,Carol,Jones,2,Daughter,NA,Female,Child,None,NA
8,Bank Street,Leslie,Davies,2,Son,NA,Male,Child,None,NA
25,Ford Oval,Hannah,Begum,2,Daughter,NA,Female,Child,None,NA
13,Bath Drive,Deborah,Young,2,Daughter,NA,Female,Child,None,NA
44,Bath Drive,Dawn,Khan-Hill,2,Daughter,NA,Female,Child,None,NA
16,Daniels Green,Amy,Houghton,2,Daughter,NA,Female,Child,None,NA
19,Daniels Green,Ashleigh,Swift,2,Granddaughter,NA,Female,Child,None,NA
24,Daniels Green,Elaine,Hurst,2,Neice,NA,Female,Child,None,NA
18,Duffy Hollow,Gillian,Newman,2,Daughter,NA,Female,Child,None,NA
22,McLean Street,Olivia,Roberts,2,Daughter,NA,Female,Child,None,NA
5,Taurus Drive,Marilyn,Brown,2,Daughter,NA,Female,Child,None,NA
8,Taurus Drive,Jean,Martin,2,Daughter,NA,Female,Child,None,NA
26,King Walks,Toby,Thompson,2,Son,NA,Male,Child,None,NA
14,St.Luke Locks,Adrian,Hicks,2,Son,NA,Male,Child,None,NA
28,Willis Avenue,Phillip,Thomas,2,Son,NA,Male,Child,None,NA
43,Willis Avenue,Anne,Chapman,2,Daughter,NA,Female,Child,None,NA
46,Willis Avenue,Molly,Stewart,2,Granddaughter,NA,Female,Child,None,NA
68,Willis Avenue,Billy,Cooper,2,Son,NA,Male,Child,None,NA
88,Willis Avenue,Justin,Green,2,Son,NA,Male,Child,None,NA
110,Willis Avenue,Joseph,Carroll,2,Son,NA,Male,Child,None,NA
114,Willis Avenue,Kim,Nelson,2,Daughter,NA,Female,Child,None,NA
121,Willis Avenue,Joanne,Jones,2,Daughter,NA,Female,Child,None,NA
131,Willis Avenue,Julian,Sullivan,2,Son,NA,Male,Child,None,NA
161,Willis Avenue,Karl,Carter,2,Son,NA,Male,Child,None,NA
188,Willis Avenue,Gemma,Saunders-Fisher,2,Daughter,NA,Female,Child,None,NA
200,Willis Avenue,Darren,Allen,2,Son,NA,Male,Child,None,NA
207,Willis Avenue,Jodie,Stephens,2,Daughter,NA,Female,Child,None,NA
2,Woods Courts,Terence,Evans,2,Son,NA,Male,Child,None,NA
9,Woods Courts,John,Ward,2,Son,NA,Male,Child,None,NA
121,Iqbal Shoals,Sandra,Brown-Johnson,2,Daughter,NA,Female,Child,None,NA
24,Hunters Parkway,Samuel,Freeman,2,Grandson,NA,Male,Child,None,NA
31,Hunters Parkway,Lauren,Wheeler,2,Daughter,NA,Female,Child,None,NA
27,Bank Burg,Joshua,Davies,2,Grandson,NA,Male,Child,None,NA
30,Bank Burg,Rosie,Poole,2,Daughter,NA,Female,Child,None,NA
2,Reynolds Highway,Dennis,Thomas,2,Son,NA,Male,Child,None,NA
4,ExcaliburBells Dam,Joseph,Henderson,2,Son,NA,Male,Child,None,NA
4,ExcaliburBells Dam,Henry,Henderson,2,Son,NA,Male,Child,None,NA
9,Rhubarb Drive,Glen,Stewart,3,Son,NA,Male,Child,None,NA
26,Rhubarb Drive,Russell,Kirk,3,Son,NA,Male,Child,None,NA
31,Rhubarb Drive,Joshua,Oliver,3,Son,NA,Male,Child,None,NA
40,Rhubarb Drive,Fiona,Butcher,3,Daughter,NA,Female,Child,None,NA
7,Wallis Rapids,Jasmine,Bates,3,Daughter,NA,Female,Child,None,NA
24,Wallis Rapids,Tina,Burgess,3,Daughter,NA,Female,Child,None,NA
27,Wallis Rapids,Leigh,Burton,3,Son,NA,Male,Child,None,NA
38,Wallis Rapids,Caroline,Stevenson,3,Daughter,NA,Female,Child,None,NA
59,Wallis Rapids,Kieran,Ali,3,Son,NA,Male,Child,None,NA
60,Wallis Rapids,John,Harding,3,Son,NA,Male,Child,None,NA
65,Wallis Rapids,Adam,Bell,3,Son,NA,Male,Child,None,NA
75,Wallis Rapids,Steven,Rice,3,Son,NA,Male,Child,None,NA
75,Wallis Rapids,Christopher,Rice,3,Son,NA,Male,Child,None,NA
9,West Lane,Toby,Smith,3,Son,NA,Male,Child,None,NA
18,Testamentrigg Road,Dean,Day,3,Son,NA,Male,Child,None,NA
6,Winterbarrier Street,Daniel,Barnes,3,Son,NA,Male,Child,None,NA
1,Willis Springs,Geoffrey,Andrews,3,Son,NA,Male,Child,None,NA
3,Willis Springs,Cheryl,Kirby,3,Granddaughter,NA,Female,Child,None,NA
6,Squirrel Plains,Elaine,Baxter,3,Daughter,NA,Female,Child,None,NA
6,Squirrel Plains,Jodie,Baxter,3,Daughter,NA,Female,Child,None,NA
44,Richardson Street,Howard,Allen,3,Son,NA,Male,Child,None,NA
46,Richardson Street,Russell,Davies,3,Son,NA,Male,Child,None,NA
63,Richardson Street,Kim,Jenkins,3,Daughter,NA,Female,Child,None,NA
66,Richardson Street,Elliott,Martin,3,Son,NA,Male,Child,None,NA
108,Richardson Street,Nigel,Parsons,3,Son,NA,Male,Child,None,NA
7,Armagh Crescent,Oliver,Hall,3,Grandson,NA,Male,Child,None,NA
10,Armagh Crescent,Mitchell,Smith,3,Son,NA,Male,Child,None,NA
11,Armagh Crescent,Lindsey,Bevan,3,Neice,NA,Female,Child,None,NA
26,Mitchell Loaf,Victoria,Stokes,3,Daughter,NA,Female,Child,None,NA
30,Mitchell Loaf,Anne,Walker,3,Daughter,NA,Female,Child,None,NA
24,Mill Drive,Carole,Martin,3,Daughter,NA,Female,Child,None,NA
29,Mill Drive,Sally,Smith,3,Daughter,NA,Female,Child,None,NA
35,Mill Drive,Danielle,Cole,3,Daughter,NA,Female,Child,None,NA
26,Chelmsfordshot Street,Darren,Schofield,3,Son,NA,Male,Child,None,NA
19,Orchard Crescent,Edward,Thomas,3,Son,NA,Male,Child,None,NA
24,Orchard Crescent,Diana,Wilson,3,Daughter,NA,Female,Child,None,NA
38,Orchard Crescent,Marcus,Tyler-Roberts,3,Son,NA,Male,Child,None,NA
3,Taylor Wall,Sara,Nolan,3,Daughter,NA,Female,Child,None,NA
4,Taylor Wall,Chelsea,Shepherd,3,Neice,NA,Female,Child,None,NA
18,Taylor Wall,Diane,Preston-Edwards,3,Daughter,NA,Female,Child,None,NA
1,Gwent Crossing,Janice,Clark,3,Daughter,NA,Female,Child,None,NA
48,Anvil Crescent,Donna,O'Sullivan,3,Daughter,NA,Female,Child,None,NA
8,Coin Street,Gavin,Phillips,3,Son,NA,Male,Child,None,NA
18,Coin Street,Norman,Hammond,3,Son,NA,Male,Child,None,NA
33,Coin Street,Marc,Davies,3,Son,NA,Male,Child,None,NA
3,Green Squares,Nathan,Hughes,3,Step-Son,NA,Male,Child,None,NA
34,Green Squares,Andrea,Page,3,Granddaughter,NA,Female,Child,None,NA
36,Green Squares,Dennis,Roberts,3,Son,NA,Male,Child,None,NA
44,Green Squares,June,Rogers,3,Daughter,NA,Female,Child,None,NA
68,Green Squares,Charles,Chambers,3,Son,NA,Male,Child,None,NA
95,Green Squares,Tony,Morris,3,Son,NA,Male,Child,None,NA
100,Green Squares,Paula,Lynch,3,Daughter,NA,Female,Child,None,NA
131,Green Squares,Bryan,Shaw,3,Son,NA,Male,Child,None,NA
156,Green Squares,Amanda,Johnson,3,Daughter,NA,Female,Child,None,NA
157,Green Squares,Janet,Richardson,3,Daughter,NA,Female,Child,None,NA
